"wavenumber k","h h N=63.2","nt_h h N=63.2"
5.6676025636608204e-04,4.2702664199707906e-16,-7.8654876594983676e-05
5.9518061173392096e-04,4.2702502676190852e-16,-7.6438430938051467e-05
6.2502611396088000e-04,4.2702345623513353e-16,-7.3696289118055364e-05
6.5636822744435225e-04,4.2702194579627263e-16,-6.8467699973204040e-05
6.8928200018440451e-04,4.2702059367952911e-16,-6.5603682046067290e-05
7.2384624348455944e-04,4.2701918948428621e-16,-6.5993730453513353e-05
7.6014372066372587e-04,4.2701783868837727e-16,-6.3578941000503477e-05
7.9826134523114118e-04,4.2701654120463406e-16,-6.0742310539883341e-05
8.3829038899885429e-04,4.2701529766231015e-16,-5.8716737373531089e-05
8.8032670063006814e-04,4.2701409766152476e-16,-5.5912455121797701e-05
9.2447093514665232e-04,4.2701296017109236e-16,-5.0346580831307071e-05
9.7082879494537339e-04,4.2701199206778749e-16,-4.7461177934143817e-05
1.0195112828999564e-03,4.2701095949605054e-16,-4.8201978766959342e-05
1.0706349681550190e-03,4.2700998080766855e-16,-4.6016011450068590e-05
1.1243222652483186e-03,4.2700904678587818e-16,-4.3253954260984787e-05
1.1807017272296670e-03,4.2700817068223496e-16,-4.0986158269222845e-05
1.2399083534783747e-03,4.2700734326595948e-16,-3.8369342177885085e-05
1.3020839129562890e-03,4.2700656430116576e-16,-3.3383918592265210e-05
1.3673772836704508e-03,4.2700594651179814e-16,-3.0781190892896903e-05
1.4359448091581996e-03,4.2700526209487740e-16,-3.1725089051498081e-05
1.5079506728483303e-03,4.2700462319634196e-16,-2.9803064976487602e-05
1.5835672911946933e-03,4.2700402635903769e-16,-2.7368426479848937e-05
1.6629757265235973e-03,4.2700347626331484e-16,-2.5603012515015305e-05
1.7463661205835560e-03,4.2700296531472651e-16,-2.3444092551514292e-05
1.8339381498355158e-03,4.2700249364459061e-16,-1.8920788893953328e-05
1.9259015035737429e-03,4.2700217278810876e-16,-1.6835915284872261e-05
2.0224763860222164e-03,4.2700177427172067e-16,-1.8262858286554654e-05
2.1238940436087896e-03,4.2700141066239499e-16,-1.6866307090625431e-05
2.2303973186796676e-03,4.2700107822132849e-16,-1.5385866621634520e-05
2.3422412309800512e-03,4.2700077549092066e-16,-1.3739703644701685e-05
2.4596935882933001e-03,4.2700050040978242e-16,-9.8251509445710106e-06
2.5830356277007651e-03,4.2700036285288994e-16,-8.3094434083696235e-06
2.7125626889977854e-03,4.2700013734183946e-16,-1.0322245354169297e-05
2.8485849218783171e-03,4.2699993334437546e-16,-9.5151873661947397e-06
2.9914280285815451e-03,4.2699974890265689e-16,-8.3220387305296537e-06
3.1414340437787135e-03,4.2699958212789186e-16,-7.8461301065789689e-06
3.2989621535676073e-03,4.2699942991612667e-16,-6.8230302893055009e-06
3.4643895555357554e-03,4.2699929450001825e-16,-3.5017875980997506e-06
3.6381123619517348e-03,4.2699928132437082e-16,-2.6380448738024587e-06
3.8205465482472716e-03,4.2699916879395606e-16,-5.1820434059813244e-06
4.0121289490612456e-03,4.2699906609429913e-16,-4.9217580654034349e-06
4.2133183042306083e-03,4.2699897204681472e-16,-4.5091202181245672e-06
4.4245963572328096e-03,4.2699888560803736e-16,-3.8980616916111343e-06
4.6464690087099419e-03,4.2699880586362249e-16,-1.0198217623503749e-06
4.8794675278366773e-03,4.2699884144246194e-16,-4.2421358161645626e-07
5.1241498244326035e-03,4.2699877326955936e-16,-3.1837505113710056e-06
5.3811017848649821e-03,4.2699870976312836e-16,-3.1555460512074879e-06
5.6509386749407607e-03,4.2699865043428749e-16,-2.9413894468894980e-06
5.9343066131469736e-03,4.2699859488173219e-16,-2.5031221400312018e-06
6.2318841177672266e-03,4.2699854276187993e-16,1.9437636517515209e-07
6.5443837315787767e-03,4.2699860162593175e-16,6.6418657592106546e-07
6.8725537280205076e-03,4.2699855598823722e-16,-2.1550555844407216e-06
7.2171799029171957e-03,4.2699851301134507e-16,-2.2130163993816245e-06
7.5790874560502861e-03,4.2699847248388290e-16,-2.0763754413874904e-06
7.9591429670805933e-03,4.2699843421833358e-16,-1.7109080025036907e-06
8.3582564705541994e-03,4.2699839802535137e-16,8.8868251416286638e-07
8.7773836349601189e-03,4.2699846996732485e-16,1.2982534113611492e-06
9.2175280510574456e-03,4.2699843785091030e-16,-1.5560005496720099e-06
9.6797436349512888e-03,4.2699840728748667e-16,-1.6420446022436199e-06
1.0165137151671697e-02,4.2699837812081527e-16,-1.3032008268066874e-06
1.0674870865298093e-02,4.2699835020456163e-16,-1.6491496557933798e-06
1.1210165321975026e-02,4.2699832339094837e-16,-9.6517992208233467e-07
1.1772302272483012e-02,4.2699829756007930e-16,1.3243376244186010e-06
1.2362627741362533e-02,4.2699837778322994e-16,1.6486287531096738e-06
1.2982555249940131e-02,4.2699835407974143e-16,-2.3643839584848313e-06
