"wavenumber k","h h N=63.2","nt_h h N=63.2"
6.4802089675836257e-04,5.5545262448684549e-16,-3.2285498932926225e-06
6.8051609021060487e-04,5.5545254298132991e-16,-2.8082160614518050e-06
7.1464076444468757e-04,5.5545247218793612e-16,-2.4116554430086410e-06
7.5047663024107670e-04,5.5545241144665005e-16,-2.0544536387026902e-06
7.8810949579072613e-04,5.5545236003485193e-16,-1.7403670683209646e-06
8.2762947216089922e-04,5.5545231717484343e-16,-1.4567173559866565e-06
8.6913118906413326e-04,5.5545228149780001e-16,-1.0246595279051031e-06
9.1271402144700272e-04,5.5545225377815925e-16,-9.4499465437342023e-07
9.5848232744123621e-04,5.5545223151578940e-16,-2.2449314452183629e-06
1.0065456982469656e-03,5.5545213262127848e-16,-2.2572039832661758e-06
1.0570192205464383e-03,5.5545211973772721e-16,-3.7421426754859829e-07
1.1100237520765424e-03,5.5545211030944666e-16,-1.4936467862152055e-07
1.1656862110199938e-03,5.5545210357665097e-16,-2.3036465046537752e-07
1.2241398799081294e-03,5.5545209884676819e-16,-1.5417201910273096e-07
1.2855247247629896e-03,5.5545209551453344e-16,-1.0002726545058384e-07
1.3499877302428740e-03,5.5545209304557571e-16,-7.7099978918486908e-08
1.4176832515938674e-03,5.5545209103576776e-16,-7.9255754512878078e-08
1.4887733842500752e-03,5.5545208913654313e-16,-8.6698151960076116e-08
1.5634283519675666e-03,5.5545208712091644e-16,4.9028609196051499e-08
1.6418269144214104e-03,5.5545208483346190e-16,-1.1986039194950787e-07
1.7241567952417753e-03,5.5545208222064809e-16,-1.5177973795850425e-06
1.8106151315140256e-03,5.5545200344444421e-16,-1.7014864792833337e-06
1.9014089458191290e-03,5.5545200007631856e-16,-9.9794278909535988e-08
1.9967556419446648e-03,5.5545199648178747e-16,-2.4324807236980488e-09
2.0968835254534012e-03,5.5545199275901224e-16,-1.5974587839735008e-07
2.2020323503559353e-03,5.5545198901944670e-16,-1.4519742894614733e-07
2.3124538931963879e-03,5.5545198537303745e-16,-1.2772230136502921e-07
2.4284125559257898e-03,5.5545198191957362e-16,-1.1970650458628415e-07
2.5501859990067263e-03,5.5545197874125284e-16,-1.1950280549570765e-07
2.6780658062652007e-03,5.5545197590496429e-16,-1.1234106593894156e-07
2.8123581830816744e-03,5.5545197345275082e-16,3.6176307417329349e-08
2.9533846895931043e-03,5.5545197140695307e-16,-9.5355825644563179e-08
3.1014830106616061e-03,5.5545196977958657e-16,-1.3735655319317340e-06
3.2570077644534152e-03,5.5545189776676154e-16,-1.5215924986739387e-06
3.4203313515642712e-03,5.5545189669592043e-16,-6.1286337561197689e-09
3.5918448467244348e-03,5.5545189597168873e-16,1.0327520131386605e-07
3.7719589352185169e-03,5.5545189556761425e-16,-2.9676199640164987e-08
3.9611048962623387e-03,5.5545189545100878e-16,-7.4553937515784709e-09
4.1597356356915111e-03,5.5545189559164917e-16,1.2789388048672665e-08
4.3683267704344780e-03,5.5545189596130465e-16,2.0085413891724758e-08
4.5873777673667683e-03,5.5545189653366189e-16,1.6523355476356836e-08
4.8174131392734300e-03,5.5545189729189942e-16,1.7013302892406760e-08
5.0589837007833267e-03,5.5545189821896333e-16,1.4991803642273885e-07
5.3126678872826303e-03,5.5545189930876146e-16,1.6839770865479770e-08
5.5790731399656132e-03,5.5545190055292418e-16,-1.2034839700345705e-06
5.8588373603391947e-03,5.5545183485677081e-16,-1.3546927305429801e-06
6.1526304376640422e-03,5.5545183604085123e-16,7.1306613600352181e-08
6.4611558529896508e-03,5.5545183737064185e-16,1.6879446604002023e-07
6.7851523636242089e-03,5.5545183884730160e-16,3.7915625249099813e-08
7.1253957720726928e-03,5.5545184047560034e-16,5.5095264961341098e-08
7.4827007836788693e-03,5.5545184225831042e-16,7.1635992361768981e-08
7.8579229574192895e-03,5.5545184420325063e-16,7.6748435149980746e-08
8.2519607545204089e-03,5.5545184629264232e-16,7.2146936186338934e-08
8.6657576898041752e-03,5.5545184854795068e-16,7.2282622408180907e-08
9.1003045909135178e-03,5.5545185095994013e-16,2.0041919335078994e-07
9.5566419708272583e-03,5.5545185352894781e-16,7.2354456381611623e-08
1.0035862519345538e-02,5.5545185625310046e-16,-1.1048120488730592e-06
